scope,members,pool_size,instrument,asset_class,model,variant,n_modelling,n_oos,mean_auc,sem,std_auc,lower_ci_1se,skipped,reason,elapsed_s
gc_si,gc1s+si1s,2,si1s,metals,xgboost,without_bbg,541,1879,0.517239,0.008983,0.033612,0.508256,False,,0.510000
gc_si,gc1s+si1s,2,si1s,metals,lightgbm,without_bbg,541,1879,0.515949,0.009071,0.033939,0.506879,False,,0.850000
si_pl,si1s+pl1s,2,si1s,metals,elasticnet_logistic,without_bbg,805,1885,0.533100,0.009977,0.037332,0.523122,False,,1.510000
si_pl,si1s+pl1s,2,si1s,metals,random_forest,without_bbg,805,1885,0.519467,0.008887,0.033251,0.510581,False,,1.800000
si_pl,si1s+pl1s,2,si1s,metals,xgboost,without_bbg,805,1885,0.510828,0.012028,0.045006,0.498800,False,,0.590000
si_pl,si1s+pl1s,2,si1s,metals,lightgbm,without_bbg,805,1885,0.512238,0.009403,0.035181,0.502836,False,,1.300000
si_pl,si1s+pl1s,2,pl1s,metals,elasticnet_logistic,without_bbg,805,1871,0.509584,0.021891,0.081908,0.487693,False,,1.510000
si_pl,si1s+pl1s,2,pl1s,metals,random_forest,without_bbg,805,1871,0.562613,0.022220,0.083138,0.540393,False,,1.800000
si_pl,si1s+pl1s,2,pl1s,metals,xgboost,without_bbg,805,1871,0.527348,0.019972,0.074729,0.507376,False,,0.590000
si_pl,si1s+pl1s,2,pl1s,metals,lightgbm,without_bbg,805,1871,0.550969,0.019237,0.071978,0.531732,False,,1.300000
metals_ex_gc,si1s+hg1s+pl1s,3,si1s,metals,elasticnet_logistic,without_bbg,1249,1884,0.524788,0.011573,0.043301,0.513216,False,,2.680000
metals_ex_gc,si1s+hg1s+pl1s,3,si1s,metals,random_forest,without_bbg,1249,1884,0.534718,0.018182,0.068031,0.516536,False,,2.400000
metals_ex_gc,si1s+hg1s+pl1s,3,si1s,metals,xgboost,without_bbg,1249,1884,0.525745,0.017757,0.066442,0.507987,False,,0.680000
metals_ex_gc,si1s+hg1s+pl1s,3,si1s,metals,lightgbm,without_bbg,1249,1884,0.532969,0.020721,0.077532,0.512247,False,,2.030000
metals_ex_gc,si1s+hg1s+pl1s,3,hg1s,metals,elasticnet_logistic,without_bbg,1249,2073,0.514157,0.017348,0.064909,0.496810,False,,2.680000
metals_ex_gc,si1s+hg1s+pl1s,3,hg1s,metals,random_forest,without_bbg,1249,2073,0.538674,0.011991,0.044867,0.526683,False,,2.400000
metals_ex_gc,si1s+hg1s+pl1s,3,hg1s,metals,xgboost,without_bbg,1249,2073,0.541350,0.014995,0.056106,0.526355,False,,0.680000
metals_ex_gc,si1s+hg1s+pl1s,3,hg1s,metals,lightgbm,without_bbg,1249,2073,0.551444,0.014079,0.052680,0.537365,False,,2.030000
